id,tournament_id,round,flight_number,holes,start_time,created_at,gender
41c2590e-ea22-44bf-b862-6b8068962a10,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,18,2026-03-30T08:00:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
db60c7ab-deb7-4ba8-b678-e8f25485e1e8,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,2,18,2026-03-30T08:10:00+00:00,2026-03-29T14:17:14.699959+00:00,Girls
c6b1f95b-4b3e-478f-a9db-e7b169a2c730,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,3,18,2026-03-30T08:20:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
4b495cdd-e2b8-4cfd-895b-07b474475d94,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,4,18,2026-03-30T08:30:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
6a5c3f79-dc80-4b86-a744-681088338cf8,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,5,18,2026-03-30T08:40:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
63a0fed9-f7fb-40ec-9a7d-16fae02f1a9b,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,6,18,2026-03-30T08:50:00+00:00,2026-03-29T14:17:14.699959+00:00,Girls
2761004b-173b-4c68-b8c8-e99fe1fcabd4,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,7,18,2026-03-30T09:00:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
df54cb60-0b8e-4a38-adc6-64ba89338295,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,8,18,2026-03-30T09:10:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
9e08d8fc-b9b3-4125-954d-0945bf093b1c,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,9,18,2026-03-30T09:20:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
be0a41a7-ec45-496f-8f23-d2033c53e1a2,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,10,18,2026-03-30T09:30:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
259db575-3247-48af-a1aa-c37fe7c9f5ee,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,11,18,2026-03-30T09:40:00+00:00,2026-03-29T14:17:14.699959+00:00,Girls
f210512f-511b-40a7-8f50-0c843a47880d,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,12,9,2026-03-30T09:50:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
dcf05598-00a4-4a23-9545-666999321c7c,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,13,9,2026-03-30T10:00:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
08c28e0f-20eb-40d3-9aec-17a0896f0289,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,1,18,,2026-03-30T15:08:05.530786+00:00,Boys
bd205230-233d-414c-869b-d91d1bdf04fb,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,2,18,,2026-03-30T15:08:05.530786+00:00,Boys
c7e108d2-8e41-43df-b56b-5a50c33c5fcd,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,3,18,,2026-03-30T15:08:05.530786+00:00,Boys
2a110981-f2cf-467e-a8cb-e8ad316c3a53,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,4,18,,2026-03-30T15:08:05.530786+00:00,Boys
87bb9142-6bf6-49af-8a88-89326ffea1a5,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,5,18,,2026-03-30T15:08:05.530786+00:00,Boys
2b2beac4-ccf9-4c7c-b9d8-da3ea5de2879,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,14,9,2026-03-30T10:10:00+00:00,2026-03-29T14:17:14.699959+00:00,Boys
c9321cce-c807-4ef7-be56-81c67d261b53,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,6,18,,2026-03-30T15:08:05.530786+00:00,Boys
5e6b1d66-07f6-4ad8-8963-4b1942db320f,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,7,18,,2026-03-30T15:08:05.530786+00:00,Boys
5b0d0727-9bc3-4683-9f4c-e4941f965665,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,8,18,,2026-03-30T15:08:05.530786+00:00,Boys
fb0e16b9-64cf-4280-a55a-01eb5c5615b0,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,9,18,,2026-03-30T15:08:05.530786+00:00,Girls
802cf157-b901-4647-b7dd-a62a4857c12d,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,10,18,,2026-03-30T15:08:05.530786+00:00,Girls
32b4020b-9897-4e22-90c9-6b342d5f7af7,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,11,18,,2026-03-30T15:08:05.530786+00:00,Girls
be1b03ea-43fc-4e3f-b36b-c8dc69078ce4,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,1,18,,2026-03-23T17:06:15.104879+00:00,Boys
34152061-2532-4567-8d6c-45fc76f43027,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,2,18,,2026-03-23T17:06:15.104879+00:00,Girls
42ee91df-77a1-492d-98ed-3bfd075ad323,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,3,18,,2026-03-23T17:06:15.104879+00:00,Boys
a0b687dc-9992-4d62-a741-228c0eb546f9,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,4,9,,2026-03-23T17:06:15.104879+00:00,Boys
