id,tournament_id,round,hole_number,entered_by,for_registration_id,strokes,rule_ball,rule_note,created_at,updated_at
39a8a14b-854a-452e-9aae-91ca0fa24732,9824dd36-0163-4868-ad15-a7140d6b7502,1,1,2a04477f-a8c1-4ec7-8933-aa890929f6a0,2a04477f-a8c1-4ec7-8933-aa890929f6a0,5,false,,2026-03-21T17:59:46.026236+00:00,2026-03-21T17:59:46.026236+00:00
98a68fc6-29c5-4710-b060-e5dc86844fd5,9824dd36-0163-4868-ad15-a7140d6b7502,1,1,2a04477f-a8c1-4ec7-8933-aa890929f6a0,c0ed259b-910c-41bc-928a-f163019b7aa8,5,false,,2026-03-21T17:59:46.371861+00:00,2026-03-21T17:59:46.371861+00:00
3a61b610-6d07-40fa-8599-f07be8b5d24e,9824dd36-0163-4868-ad15-a7140d6b7502,1,1,c0ed259b-910c-41bc-928a-f163019b7aa8,c0ed259b-910c-41bc-928a-f163019b7aa8,5,false,,2026-03-21T17:59:49.301207+00:00,2026-03-21T17:59:49.301207+00:00
88eba923-e297-4e04-9c15-a2aaffbc5662,9824dd36-0163-4868-ad15-a7140d6b7502,1,1,c0ed259b-910c-41bc-928a-f163019b7aa8,2a04477f-a8c1-4ec7-8933-aa890929f6a0,5,false,,2026-03-21T17:59:49.7752+00:00,2026-03-21T17:59:49.7752+00:00
d2098678-df6e-4353-8576-a1fb0a6ec46d,9824dd36-0163-4868-ad15-a7140d6b7502,1,2,2a04477f-a8c1-4ec7-8933-aa890929f6a0,2a04477f-a8c1-4ec7-8933-aa890929f6a0,5,false,,2026-03-21T18:00:19.628257+00:00,2026-03-21T18:00:19.628257+00:00
41d5ee07-fa80-48d3-b23b-c22433350803,9824dd36-0163-4868-ad15-a7140d6b7502,1,2,2a04477f-a8c1-4ec7-8933-aa890929f6a0,c0ed259b-910c-41bc-928a-f163019b7aa8,4,false,,2026-03-21T18:00:19.904015+00:00,2026-03-21T18:00:19.904015+00:00
b21c4c9d-5807-4208-a562-c2c9a789e215,9824dd36-0163-4868-ad15-a7140d6b7502,1,9,c0ed259b-910c-41bc-928a-f163019b7aa8,c0ed259b-910c-41bc-928a-f163019b7aa8,5,false,,2026-03-21T18:02:13.286653+00:00,2026-03-21T18:02:13.286653+00:00
9f55b20b-b9ac-4889-ad54-83a7f143805c,9824dd36-0163-4868-ad15-a7140d6b7502,1,9,2a04477f-a8c1-4ec7-8933-aa890929f6a0,2a04477f-a8c1-4ec7-8933-aa890929f6a0,5,false,,2026-03-21T18:02:11.368153+00:00,2026-03-21T18:02:13.609532+00:00
6b626bb3-ad2f-43de-a547-36f005c5aa61,9824dd36-0163-4868-ad15-a7140d6b7502,1,2,c0ed259b-910c-41bc-928a-f163019b7aa8,c0ed259b-910c-41bc-928a-f163019b7aa8,5,false,,2026-03-21T18:00:18.663217+00:00,2026-03-21T18:00:48.341026+00:00
7c37e0e1-f390-4673-b8e8-3ca9a2cf84d3,9824dd36-0163-4868-ad15-a7140d6b7502,1,2,c0ed259b-910c-41bc-928a-f163019b7aa8,2a04477f-a8c1-4ec7-8933-aa890929f6a0,4,false,,2026-03-21T18:00:19.083237+00:00,2026-03-21T18:00:48.762559+00:00
00ec0cc5-9200-4431-896b-c56d2d568ca4,9824dd36-0163-4868-ad15-a7140d6b7502,1,3,2a04477f-a8c1-4ec7-8933-aa890929f6a0,2a04477f-a8c1-4ec7-8933-aa890929f6a0,5,true,,2026-03-21T18:01:13.768533+00:00,2026-03-21T18:01:13.768533+00:00
2327ea7d-98ff-4628-a45c-39609fbe2ccf,9824dd36-0163-4868-ad15-a7140d6b7502,1,3,2a04477f-a8c1-4ec7-8933-aa890929f6a0,c0ed259b-910c-41bc-928a-f163019b7aa8,5,true,,2026-03-21T18:01:14.305931+00:00,2026-03-21T18:01:14.305931+00:00
c3fc605b-595d-4673-85c6-424bb85d1d2c,9824dd36-0163-4868-ad15-a7140d6b7502,1,3,c0ed259b-910c-41bc-928a-f163019b7aa8,c0ed259b-910c-41bc-928a-f163019b7aa8,5,true,Handlung,2026-03-21T18:01:12.638064+00:00,2026-03-21T18:01:20.886695+00:00
b4e1054c-4742-458b-b8d1-4e3459e53bac,9824dd36-0163-4868-ad15-a7140d6b7502,1,3,c0ed259b-910c-41bc-928a-f163019b7aa8,2a04477f-a8c1-4ec7-8933-aa890929f6a0,5,true,Handlung,2026-03-21T18:01:13.046181+00:00,2026-03-21T18:01:21.235267+00:00
5ec9a1c1-e67a-44be-8e72-30be4b59f450,9824dd36-0163-4868-ad15-a7140d6b7502,1,9,c0ed259b-910c-41bc-928a-f163019b7aa8,2a04477f-a8c1-4ec7-8933-aa890929f6a0,5,false,,2026-03-21T18:02:13.654419+00:00,2026-03-21T18:02:13.654419+00:00
77402fd1-0c52-4470-8c56-6dcfe19aee62,9824dd36-0163-4868-ad15-a7140d6b7502,1,9,2a04477f-a8c1-4ec7-8933-aa890929f6a0,c0ed259b-910c-41bc-928a-f163019b7aa8,5,false,,2026-03-21T18:02:11.678046+00:00,2026-03-21T18:02:13.881467+00:00
c89ac097-80e4-4a88-bdb9-3215108fc8d4,9824dd36-0163-4868-ad15-a7140d6b7502,1,10,c0ed259b-910c-41bc-928a-f163019b7aa8,c0ed259b-910c-41bc-928a-f163019b7aa8,5,false,,2026-03-21T18:02:16.159369+00:00,2026-03-21T18:02:16.159369+00:00
